"filename", "language", "JavaScript", "CSS", "XML", "JSON", "Markdown", "HTML", "SCSS", "Properties", "comment", "blank", "total"
"e:\MERN-School-Management-System\README.md", "Markdown", 0, 0, 0, 0, 136, 0, 0, 0, 0, 57, 193
"e:\MERN-School-Management-System\backend\controllers\admin-controller.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 73, 18, 153
"e:\MERN-School-Management-System\backend\controllers\class-controller.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 10, 105
"e:\MERN-School-Management-System\backend\controllers\complain-controller.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"e:\MERN-School-Management-System\backend\controllers\notice-controller.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"e:\MERN-School-Management-System\backend\controllers\student_controller.js", "JavaScript", 247, 0, 0, 0, 0, 0, 0, 0, 1, 43, 291
"e:\MERN-School-Management-System\backend\controllers\subject-controller.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 7, 23, 164
"e:\MERN-School-Management-System\backend\controllers\teacher-controller.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 0, 32, 205
"e:\MERN-School-Management-System\backend\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"e:\MERN-School-Management-System\backend\models\adminSchema.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"e:\MERN-School-Management-System\backend\models\complainSchema.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"e:\MERN-School-Management-System\backend\models\noticeSchema.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"e:\MERN-School-Management-System\backend\models\sclassSchema.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\MERN-School-Management-System\backend\models\studentSchema.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 2, 60
"e:\MERN-School-Management-System\backend\models\subjectSchema.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"e:\MERN-School-Management-System\backend\models\teacherSchema.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 49
"e:\MERN-School-Management-System\backend\package-lock.json", "JSON", 0, 0, 0, 2049, 0, 0, 0, 0, 0, 1, 2050
"e:\MERN-School-Management-System\backend\package.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"e:\MERN-School-Management-System\backend\routes\route.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 10, 39, 119
"e:\MERN-School-Management-System\frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3
"e:\MERN-School-Management-System\frontend\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"e:\MERN-School-Management-System\frontend\package-lock.json", "JSON", 0, 0, 0, 19877, 0, 0, 0, 0, 0, 1, 19878
"e:\MERN-School-Management-System\frontend\package.json", "JSON", 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 54
"e:\MERN-School-Management-System\frontend\public\homepage\about.html", "HTML", 0, 0, 0, 0, 0, 216, 0, 0, 14, 27, 257
"e:\MERN-School-Management-System\frontend\public\homepage\contact.html", "HTML", 0, 0, 0, 0, 0, 162, 0, 0, 13, 17, 192
"e:\MERN-School-Management-System\frontend\public\homepage\courses.html", "HTML", 0, 0, 0, 0, 0, 346, 0, 0, 14, 29, 389
"e:\MERN-School-Management-System\frontend\public\homepage\css\custom.css", "CSS", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"e:\MERN-School-Management-System\frontend\public\homepage\css\default-skin\default-skin.css", "CSS", 0, 352, 0, 0, 0, 0, 0, 0, 72, 59, 483
"e:\MERN-School-Management-System\frontend\public\homepage\css\default-skin\default-skin.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\MERN-School-Management-System\frontend\public\homepage\css\style.css", "CSS", 0, 2573, 0, 0, 0, 0, 0, 0, 21, 507, 3101
"e:\MERN-School-Management-System\frontend\public\homepage\css\style.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"e:\MERN-School-Management-System\frontend\public\homepage\css\styles-merged.css", "CSS", 0, 6825, 0, 0, 0, 0, 0, 0, 180, 640, 7645
"e:\MERN-School-Management-System\frontend\public\homepage\css\vendor\animate.css", "CSS", 0, 2825, 0, 0, 0, 0, 0, 0, 30, 522, 3377
"e:\MERN-School-Management-System\frontend\public\homepage\css\vendor\bootstrap.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"e:\MERN-School-Management-System\frontend\public\homepage\css\vendor\default-skin.css", "CSS", 0, 352, 0, 0, 0, 0, 0, 0, 72, 59, 483
"e:\MERN-School-Management-System\frontend\public\homepage\css\vendor\flexslider.css", "CSS", 0, 241, 0, 0, 0, 0, 0, 0, 34, 0, 275
"e:\MERN-School-Management-System\frontend\public\homepage\css\vendor\icomoon.css", "CSS", 0, 2949, 0, 0, 0, 0, 0, 0, 2, 4, 2955
"e:\MERN-School-Management-System\frontend\public\homepage\css\vendor\magnific-popup.css", "CSS", 0, 327, 0, 0, 0, 0, 0, 0, 6, 35, 368
"e:\MERN-School-Management-System\frontend\public\homepage\css\vendor\owl.carousel.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\MERN-School-Management-System\frontend\public\homepage\css\vendor\owl.theme.default.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\MERN-School-Management-System\frontend\public\homepage\css\vendor\photoswipe.css", "CSS", 0, 128, 0, 0, 0, 0, 0, 0, 31, 20, 179
"e:\MERN-School-Management-System\frontend\public\homepage\fonts\icomoon demo\demo-files\demo.css", "CSS", 0, 157, 0, 0, 0, 0, 0, 0, 0, 2, 159
